%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.211 sec
%  2  3 Motor voltage [V] left, right: 6.06 6.00
%  4  5 Wheel velocity [m/s] left, right: 0.7436 0.8232
%  6    Battery voltage [V]: 11.87
%  7  9 Chirp frequency =785.062 rad/s, phase=0.785062 rad, value=0.706869
0.528 7.49 7.47 0.7727 0.6852 11.86 685.176 1.66502 0.995564 
0.530 3.06 3.01 0.7533 0.8390 11.83 684.59 3.03449 0.106894 
0.531 -0.20 -0.25 0.8136 0.8489 11.85 684.297 3.71879 -0.545678 
0.532 -2.25 -2.27 0.8990 0.7809 11.86 684.004 4.4028 -0.952457 
0.533 -2.13 -2.18 0.7623 0.8822 11.86 683.711 5.08651 -0.93083 
0.534 0.05 0.03 0.8546 0.7788 11.86 683.419 5.76993 -0.49102 
0.535 3.37 3.32 0.7113 0.8422 11.87 683.127 0.169867 0.169051 
0.536 6.29 6.24 0.7847 0.7758 11.88 682.834 0.852701 0.75306 
0.538 6.51 6.47 0.7811 0.7770 11.85 682.25 2.21749 0.798078 
0.539 3.72 3.67 0.7760 0.8105 11.84 681.958 2.89945 0.239782 
0.540 0.40 0.35 0.7959 0.7996 11.85 681.666 3.58112 -0.42551 
0.541 -1.98 -2.02 0.8252 0.8430 11.86 681.375 4.26249 -0.900492 
0.542 -2.34 -2.39 0.8412 0.8485 11.86 681.083 4.94358 -0.973395 
0.543 -0.54 -0.58 0.8063 0.8538 11.86 680.792 5.62437 -0.612182 
0.544 2.62 2.60 0.8390 0.8380 11.86 680.501 0.0216829 0.0216812 
0.546 7.43 7.39 0.7615 0.7579 11.87 679.918 1.38181 0.982195 
0.547 6.93 6.89 0.7425 0.7885 11.85 679.627 2.06144 0.882031 
0.548 4.47 4.43 0.7927 0.7961 11.83 679.337 2.74077 0.390172 
0.549 1.15 1.10 0.8413 0.8690 11.83 679.046 3.41982 -0.274652 
