%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.010 sec
%  2  3 Motor voltage [V] left, right: 4.75 4.75
%  4  5 Wheel velocity [m/s] left, right: 0.0000 -0.0000
%  6    Battery voltage [V]: 11.90
%  7  9 Chirp frequency =1256.1 rad/s, phase=1.2561 rad, value=0.95089
0.283 -3.61 -3.50 0.0032 0.0000 11.90 1117.04 5.49184 -0.711302 
0.284 1.54 1.65 0.0032 0.0000 11.89 1116.56 0.325214 0.319512 
0.285 4.90 5.01 0.0031 0.0000 11.91 1116.08 1.4413 0.991627 
0.286 2.70 2.81 0.0031 0.0000 11.90 1115.61 2.55691 0.551939 
0.288 -5.04 -4.93 0.0031 0.0000 11.90 1114.65 4.78669 -0.997241 
0.289 -1.92 -1.81 0.0030 0.0000 11.89 1114.17 5.90086 -0.373078 
0.290 3.28 3.40 0.0030 0.0000 11.90 1113.7 0.731373 0.667892 
0.291 4.76 4.87 0.0030 0.0000 11.91 1113.22 1.84459 0.962751 
0.292 0.86 0.97 0.0030 0.0000 11.89 1112.74 2.95734 0.183214 
0.293 -4.06 -3.95 0.0029 0.0000 11.90 1112.27 4.06961 -0.800431 
0.294 -4.52 -4.40 0.0029 0.0000 11.90 1111.79 5.1814 -0.892017 
0.295 -0.01 0.10 0.0029 0.0000 11.89 1111.32 0.00952786 0.00952771 
0.297 3.89 4.01 0.0029 0.0000 11.89 1110.36 2.23073 0.790032 
0.298 -1.04 -0.93 0.0028 0.0000 11.88 1109.89 3.34062 -0.197717 
0.299 -4.88 -4.77 0.0028 0.0000 11.90 1109.41 4.45004 -0.965782 
0.300 -3.37 -3.26 0.0028 0.0000 11.89 1108.94 5.55897 -0.662545 
0.301 1.82 1.93 0.0028 0.0000 11.88 1108.46 0.384253 0.374866 
0.302 4.93 5.04 0.0028 0.0000 11.90 1107.99 1.49224 0.996916 
0.303 2.52 2.63 0.0027 0.0000 11.89 1107.52 2.59976 0.515709 
0.305 -5.03 -4.92 0.0027 0.0000 11.91 1106.57 4.81337 -0.994906 
0.306 -1.84 -1.72 0.0027 0.0000 11.89 1106.09 5.91946 -0.355759 
0.307 3.32 3.44 0.0027 0.0000 11.89 1105.62 0.741894 0.675685 
0.308 4.75 4.87 0.0027 0.0000 11.91 1105.15 1.84704 0.962087 
0.309 0.89 1.00 0.0026 0.0000 11.89 1104.67 2.95171 0.18874 
0.310 -4.02 -3.90 0.0026 0.0000 11.90 1104.2 4.05591 -0.792149 
0.311 -4.57 -4.45 0.0026 0.0000 11.90 1103.73 5.15964 -0.901638 
0.313 4.36 4.47 0.0026 0.0000 11.90 1102.78 1.0825 0.883131 
0.314 4.03 4.14 0.0026 0.0000 11.90 1102.31 2.18481 0.817344 
0.315 -0.78 -0.66 0.0025 0.0000 11.89 1101.84 3.28664 -0.144544 
0.316 -4.80 -4.68 0.0025 0.0000 11.90 1101.37 4.38801 -0.947849 
0.317 -3.62 -3.51 0.0025 0.0000 11.90 1100.9 5.48891 -0.713357 
0.318 1.45 1.56 0.0025 0.0000 11.89 1100.42 0.306147 0.301387 
0.319 4.87 4.99 0.0025 0.0000 11.90 1099.95 1.4061 0.986468 
0.321 -2.29 -2.17 0.0024 0.0000 11.89 1099.01 3.60459 -0.446635 
0.322 -5.06 -4.94 0.0024 0.0000 11.90 1098.54 4.70314 -0.999957 
0.323 -2.38 -2.26 0.0024 0.0000 11.89 1098.07 5.80121 -0.463534 
0.324 2.83 2.95 0.0024 0.0000 11.89 1097.6 0.615621 0.577466 
0.325 4.89 5.01 0.0024 0.0000 11.90 1097.13 1.71275 0.989941 
0.326 1.57 1.69 0.0024 0.0000 11.88 1096.66 2.80941 0.326104 
0.327 -3.52 -3.40 0.0024 0.0000 11.89 1096.19 3.90561 -0.691824 
0.329 -0.99 -0.87 0.0023 0.0000 11.88 1095.25 6.09658 -0.185523 
0.330 3.88 4.00 0.0023 0.0000 11.89 1094.78 0.90818 0.788385 
